rc  libapache2-mod-php8.2                   8.2.24-1+ubuntu22.04.1+deb.sury.org+1        amd64        server-side, HTML-embedded scripting language (Apache 2 module)
ii  lsphp82-memcached                       3.2.0-1+jammy                                amd64        memcached extension module for PHP, uses libmemcached
ii  lsphp82-modules-source                  8.2.22-1+jammy                               all          PHP 70 modules source package
ii  lsphp82-msgpack                         2.2.0-1+jammy                                amd64        PHP extension for interfacing with MessagePack
ii  lsphp82-mysql                           8.2.22-1+jammy                               amd64        MySQL module for PHP
ii  lsphp82-opcache                         8.2.22-1+jammy                               amd64        Zend OpCache module for PHP
ii  lsphp82-pear                            1.10.15-1+jammy                              all          Provides PHP PEAR package
ii  lsphp82-pgsql                           8.2.22-1+jammy                               amd64        PostgreSQL module for PHP
ii  lsphp82-pspell                          8.2.22-1+jammy                               amd64        pspell module for PHP
ii  lsphp82-redis                           6.0.2-1+jammy                                amd64        PHP extension for interfacing with Redis
ii  lsphp82-snmp                            8.2.22-1+jammy                               amd64        SNMP module for PHP
ii  lsphp82-sqlite3                         8.2.22-1+jammy                               amd64        SQLite3 module for PHP
ii  lsphp82-sybase                          8.2.22-1+jammy                               amd64        Sybase module for PHP
ii  lsphp82-tidy                            8.2.22-1+jammy                               amd64        tidy module for PHP
ii  lsphp83-common                          8.3.10-1+jammy                               all          Common files for packages built from the PHP source
ii  lsphp83-dev                             8.3.10-1+jammy                               amd64        Files for PHP70 module development
ii  lsphp83-igbinary                        3.2.15-2+jammy                               amd64        igbinary PHP serializer
ii  lsphp83-imagick                         3.7.0-1+jammy                                amd64        Provides a wrapper to the ImageMagick library
ii  lsphp83-memcached                       3.2.0-1+jammy                                amd64        memcached extension module for PHP, uses libmemcached
ii  lsphp83-msgpack                         2.2.0-1+jammy                                amd64        PHP extension for interfacing with MessagePack
ii  lsphp83-redis                           6.0.2-3+jammy                                amd64        PHP extension for interfacing with Redis
ii  php-cli                                 2:8.3+95+ubuntu22.04.1+deb.sury.org+1        all          command-line interpreter for the PHP scripting language (default)
ii  php-common                              2:94+ubuntu22.04.1+deb.sury.org+2            all          Common files for PHP packages
ii  php-json                                2:8.3+95+ubuntu22.04.1+deb.sury.org+1        all          JSON module for PHP [default]
ii  php-mbstring                            2:8.3+95+ubuntu22.04.1+deb.sury.org+1        all          MBSTRING module for PHP [default]
ii  php-mysql                               2:8.3+95+ubuntu22.04.1+deb.sury.org+1        all          MySQL module for PHP [default]
ii  php-pear                                1:1.10.12+submodules+notgz+20210212-1ubuntu3 all          PEAR Base System
ii  php-readline                            2:8.3+95+ubuntu22.04.1+deb.sury.org+1        all          readline module for PHP [default]
